pmt_id,pmt_x,pmt_y,pmt_z
300515,4831.8384,-276.29453,18580.016
300516,4995.267,253.33127,18537.074
300517,4944.009,757.3943,18537.074
300519,4690.3423,1737.112,18537.074
300521,4244.6523,2645.7122,18537.074
300523,3625.1863,3445.9966,18537.074
300525,2857.3044,4105.2017,18537.074
300527,1972.4443,4596.339,18537.074
300529,1006.8321,4899.302,18537.074
300531,3.0626497e-13,5001.6865,18537.074
300533,-1006.8321,4899.302,18537.074
300535,-1972.4443,4596.339,18537.074
300537,-2857.3044,4105.2017,18537.074
300539,-3625.1863,3445.9966,18537.074
300541,-4244.6523,2645.7122,18537.074
300543,-4690.3423,1737.112,18537.074
300545,-4944.009,757.3943,18537.074
300546,-4995.267,253.33127,18537.074
300547,-4995.267,-253.33127,18537.074
300548,-4944.009,-757.3943,18537.074
300550,-4690.3423,-1737.112,18537.074
300552,-4244.6523,-2645.7122,18537.074
300554,-3625.1863,-3445.9966,18537.074
300556,-2857.3044,-4105.2017,18537.074
300558,-1972.4443,-4596.339,18537.074
300560,-1006.8321,-4899.302,18537.074
300562,-9.187949e-13,-5001.6865,18537.074
300564,1006.8321,-4899.302,18537.074
300566,1972.4443,-4596.339,18537.074
300568,2857.3044,-4105.2017,18537.074
300570,3625.1863,-3445.9966,18537.074
300572,4244.6523,-2645.7122,18537.074
300574,4690.3423,-1737.112,18537.074
300576,4944.009,-757.3943,18537.074
300577,4995.267,-253.33127,18537.074
300578,5326.771,270.14325,18444.309
300579,5272.111,807.6577,18444.309
300581,5001.6104,1852.3931,18444.309
300583,4526.3433,2821.2913,18444.309
300585,3865.7668,3674.6853,18444.309
300587,3046.9255,4377.6377,18444.309
300589,2103.343,4901.3687,18444.309
300591,1073.6492,5224.437,18444.309
300593,3.2658983e-13,5333.6167,18444.309
300595,-1073.6492,5224.437,18444.309
300597,-2103.343,4901.3687,18444.309
300599,-3046.9255,4377.6377,18444.309
300601,-3865.7668,3674.6853,18444.309
300603,-4526.3433,2821.2913,18444.309
300605,-5001.6104,1852.3931,18444.309
300607,-5272.111,807.6577,18444.309
300608,-5326.771,270.14325,18444.309
